subject,regime,channel,perplexity_real,perplexity_aaft,delta
7,rest,F7,3.887212907932058,4.0651614694899205,0.17794856155786265
7,rest,F8,4.008501219390295,4.277547693305545,0.2690464739152496
7,rest,T3,3.731751505653298,3.9155179093654384,0.18376640371214048
7,rest,T4,4.160370548070564,4.102103210848656,-0.05826733722190802
7,rest,C3,4.012933779099882,3.9783388524351095,-0.03459492666477226
7,rest,C4,3.973614238966506,3.891072485446234,-0.08254175352027193
7,rest,T5,4.25225893647869,4.367278699674798,0.1150197631961083
7,rest,T6,4.203760415831556,3.988208580449926,-0.2155518353816297
7,rest,P3,3.563092183440074,3.6065910985964633,0.04349891515638937
7,rest,P4,3.655456616615848,3.674655910008888,0.019199293393039607
7,rest,O1,3.814449626125786,3.918348086562349,0.1038984604365627
7,rest,O2,3.849134790201681,3.928870950998628,0.07973616079694734
7,rest,Fz,4.004760972566574,3.9881505816950815,-0.01661039087149252
7,rest,Cz,3.705887661079643,3.640812778041086,-0.06507488303855702
7,rest,Pz,3.5585158479782613,3.395095711318421,-0.16342013665984023
7,arithmetic,Fp1,4.098849987243024,4.1268872883579615,0.02803730111493774
7,arithmetic,Fp2,4.74790726310246,4.3993097939649815,-0.3485974691374789
7,arithmetic,F3,4.114817411916799,4.620370965228339,0.5055535533115405
7,arithmetic,F4,4.346270428720968,4.791562945146668,0.44529251642570067
7,arithmetic,F7,4.1564632468948455,3.801824624664939,-0.3546386222299063
7,arithmetic,F8,5.20906454476022,5.526983170702814,0.31791862594259435
7,arithmetic,T3,4.722308252634266,4.612467117391347,-0.10984113524291939
7,arithmetic,T4,6.114665275182072,5.597019978234509,-0.5176452969475633
7,arithmetic,C3,4.265184704048399,4.157209826729583,-0.10797487731881539
7,arithmetic,C4,4.466408076466265,4.400923334123671,-0.06548474234259416
7,arithmetic,T5,5.559678346704239,5.659832024105734,0.10015367740149461
7,arithmetic,T6,4.723205255791548,4.857733122143777,0.13452786635222935
7,arithmetic,P3,4.003588159363898,4.331944842077669,0.32835668271377116
7,arithmetic,P4,4.402708586871429,4.535029873358178,0.13232128648674912
7,arithmetic,O1,4.165244360008005,4.266866810656568,0.10162245064856279
7,arithmetic,O2,4.74371092140735,4.873385897991505,0.1296749765841554
7,arithmetic,Fz,4.113688145910444,4.229945283762216,0.11625713785177183
7,arithmetic,Cz,4.225065819429132,4.226507541083809,0.0014417216546762646
7,arithmetic,Pz,4.283278796902538,4.185221499312745,-0.09805729758979265
8,rest,Fp1,4.27346751603935,4.169880851886775,-0.10358666415257467
8,rest,Fp2,4.609713082003678,4.358092230656416,-0.251620851347262
8,rest,F3,4.075293947112765,4.3036302297264335,0.22833628261366812
8,rest,F4,4.078885284100507,4.011162191507938,-0.06772309259256915
8,rest,F7,4.210816084214144,4.07009117128304,-0.14072491293110456
8,rest,F8,4.000847459717576,3.942876355888029,-0.0579711038295474
8,rest,T3,3.952294048353705,3.9651291374945226,0.012835089140817768
8,rest,T4,3.924220654136003,3.898719348118077,-0.02550130601792633
8,rest,C3,3.9720565336447913,3.976332391706058,0.004275858061266735
8,rest,C4,3.999582466223282,3.997517244197964,-0.002065222025318114
8,rest,T5,3.554129752240211,3.602874854796868,0.04874510255665676
