regime,prompt,layer,t,F
mathematical,0,23,86,107.13422676824754
mathematical,0,23,87,92.43360845504269
mathematical,0,23,88,85.51158628156108
mathematical,0,23,89,78.54302357089135
mathematical,0,23,90,73.05934186135569
mathematical,0,23,91,66.43247930465206
mathematical,0,23,92,61.519040076963364
mathematical,0,23,93,57.772793123798984
mathematical,0,23,94,54.99069478434901
mathematical,0,23,95,51.991518512848884
mathematical,0,23,96,50.33912283374417
mathematical,0,23,97,47.62815789253481
mathematical,0,23,98,45.557882678124216
mathematical,0,23,99,44.50748498978153
mathematical,0,23,100,43.47945939340899
mathematical,0,23,101,43.68418915041031
mathematical,0,23,102,42.856857730496316
mathematical,0,23,103,41.4119813365321
mathematical,0,23,104,40.358293041106194
mathematical,0,23,105,38.396412141861454
mathematical,0,23,106,37.92548776442005
mathematical,0,23,107,37.08713814520067
mathematical,0,23,108,36.4034540730138
mathematical,0,23,109,35.79289811657321
mathematical,0,23,110,35.10971450805664
mathematical,0,23,111,35.14812217220183
mathematical,0,23,112,34.86035506956039
mathematical,0,23,113,35.2583679076164
mathematical,0,23,114,36.084040426438854
mathematical,0,23,115,35.578369632844
mathematical,0,23,116,35.37637636738439
mathematical,0,23,117,35.355369813980595
mathematical,0,23,118,35.35806194428475
mathematical,0,23,119,35.22174410666189
mathematical,0,23,120,34.780502196281184
mathematical,0,23,121,34.49664854234265
mathematical,0,23,122,34.46222656003891
mathematical,0,23,123,34.14778266414519
mathematical,0,23,124,33.514504401914536
mathematical,0,23,125,33.14844531397666
mathematical,0,23,126,31.904465398480816
mathematical,0,24,0,19097.4296875
mathematical,0,24,1,29386.041015625
mathematical,0,24,2,33048.669270833336
mathematical,0,24,3,36293.244140625
mathematical,0,24,4,41115.28984375
mathematical,0,24,5,43682.759765625
mathematical,0,24,6,42654.01283482143
mathematical,0,24,7,40256.225341796875
mathematical,0,24,8,39072.04904513889
mathematical,0,24,9,37967.5234375
mathematical,0,24,10,37075.42649147727
mathematical,0,24,11,35259.615071614586
mathematical,0,24,12,33328.12169471154
mathematical,0,24,13,31406.874267578125
mathematical,0,24,14,31201.827962239582
mathematical,0,24,15,31362.884368896484
mathematical,0,24,16,30704.754796645222
mathematical,0,24,17,30996.54163953993
mathematical,0,24,18,30900.090229235197
mathematical,0,24,19,31350.915795898436
mathematical,0,24,20,31957.20775204613
mathematical,0,24,21,32707.90498490767
mathematical,0,24,22,33267.058402683426
mathematical,0,24,23,32966.387756347656
mathematical,0,24,24,33821.06271484375
mathematical,0,24,25,34144.92598783053
mathematical,0,24,26,34546.179307725695
mathematical,0,24,27,34274.28946358817
mathematical,0,24,28,34043.18593413254
mathematical,0,24,29,34115.379215494795
mathematical,0,24,30,35160.79969443045
mathematical,0,24,31,36027.32250189012
mathematical,0,24,32,35742.841025075606
mathematical,0,24,33,35196.58258253528
mathematical,0,24,34,37799.87214906754
mathematical,0,24,35,38944.81027910786
mathematical,0,24,36,40187.71753717238
mathematical,0,24,37,41650.36169039818
mathematical,0,24,38,43360.51863344254
mathematical,0,24,39,45065.895964591735
mathematical,0,24,40,46602.784699470765
mathematical,0,24,41,48177.30095451109
mathematical,0,24,42,50116.43723223286
mathematical,0,24,43,50270.09830204133
mathematical,0,24,44,52388.14865801411
mathematical,0,24,45,53751.50652091734
mathematical,0,24,46,53116.89642137097
mathematical,0,24,47,54905.914755544356
mathematical,0,24,48,55825.315083165326
mathematical,0,24,49,55261.470073084674
mathematical,0,24,50,54161.5416141633
mathematical,0,24,51,52847.28858996976
mathematical,0,24,52,51382.796244959674
mathematical,0,24,53,50020.88004032258
mathematical,0,24,54,49273.161550214216
mathematical,0,24,55,47564.15904580393
mathematical,0,24,56,46224.7557609312
mathematical,0,24,57,44786.15921906502
mathematical,0,24,58,43929.964510025515
mathematical,0,24,59,43050.0693930349
mathematical,0,24,60,41893.82940181609
mathematical,0,24,61,39757.80886643933
mathematical,0,24,62,38283.29293970908
mathematical,0,24,63,37294.04701922017
mathematical,0,24,64,36546.30434343892
mathematical,0,24,65,32462.335357666016
mathematical,0,24,66,29374.237254481162
mathematical,0,24,67,26313.387667748237
mathematical,0,24,68,23677.77306242912
mathematical,0,24,69,21213.75533171623
mathematical,0,24,70,18555.043474505026
mathematical,0,24,71,16117.069031500047
mathematical,0,24,72,13638.75397540677
mathematical,0,24,73,11210.326597152218
mathematical,0,24,74,10733.019821413101
mathematical,0,24,75,8409.806279828472
mathematical,0,24,76,6136.068455603815
mathematical,0,24,77,5683.41938461796
mathematical,0,24,78,3245.4132863936884
mathematical,0,24,79,1168.4932815797868
mathematical,0,24,80,792.7826802653651
mathematical,0,24,81,606.7255616957142
mathematical,0,24,82,500.9960906736312
mathematical,0,24,83,402.92453532065116
mathematical,0,24,84,296.79220962524414
mathematical,0,24,85,206.41651165869928
mathematical,0,24,86,163.6838177711733
mathematical,0,24,87,141.72728612346035
mathematical,0,24,88,131.52180142556466
mathematical,0,24,89,120.25101846264255
mathematical,0,24,90,111.93929161563996
mathematical,0,24,91,101.75254028074202
mathematical,0,24,92,93.56433419258364
mathematical,0,24,93,88.25941018135318
mathematical,0,24,94,84.2963315286944
mathematical,0,24,95,77.86906266981556
mathematical,0,24,96,75.487333543839
mathematical,0,24,97,72.310456368231
mathematical,0,24,98,70.72049547010853
mathematical,0,24,99,69.14331946834442
mathematical,0,24,100,67.56186423763153
mathematical,0,24,101,68.48676687671292
mathematical,0,24,102,67.28702366736627
mathematical,0,24,103,64.07298284961331
mathematical,0,24,104,62.293430882115516
mathematical,0,24,105,59.62143258125551
mathematical,0,24,106,59.38820777400847
mathematical,0,24,107,57.815312970069144
mathematical,0,24,108,56.43175715784873
mathematical,0,24,109,55.942660916236136
mathematical,0,24,110,55.69462708503969
mathematical,0,24,111,56.79723628874748
mathematical,0,24,112,56.684912896925404
mathematical,0,24,113,57.03444523965159
mathematical,0,24,114,58.90700063397807
mathematical,0,24,115,58.161804076163996
mathematical,0,24,116,57.84528904576455
mathematical,0,24,117,57.76304767977807
mathematical,0,24,118,57.61838353064753
mathematical,0,24,119,58.12162922274682
mathematical,0,24,120,58.152377774638516
mathematical,0,24,121,57.961764181813884
mathematical,0,24,122,58.05773199758222
mathematical,0,24,123,57.487686895555065
mathematical,0,24,124,55.974461832354145
mathematical,0,24,125,55.43704026745212
mathematical,0,24,126,54.488334102015344
mathematical,0,25,0,23707.298828125
mathematical,0,25,1,33189.5302734375
mathematical,0,25,2,35845.180338541664
mathematical,0,25,3,43492.33056640625
mathematical,0,25,4,48246.308203125
mathematical,0,25,5,51517.183919270836
mathematical,0,25,6,55429.312779017855
mathematical,0,25,7,52093.44580078125
mathematical,0,25,8,51175.276475694445
mathematical,0,25,9,49716.619140625
mathematical,0,25,10,49498.73401988636
mathematical,0,25,11,46853.729654947914
mathematical,0,25,12,44316.016150841344
mathematical,0,25,13,42191.581821986605
mathematical,0,25,14,41664.256575520834
mathematical,0,25,15,41969.91778564453
mathematical,0,25,16,41164.66480928309
mathematical,0,25,17,41591.570149739586
mathematical,0,25,18,45057.66144120066
mathematical,0,25,19,45134.619384765625
mathematical,0,25,20,45309.35365513393
mathematical,0,25,21,45917.88711825284
mathematical,0,25,22,46203.949431046196
mathematical,0,25,23,45580.11389160156
mathematical,0,25,24,45850.9348046875
mathematical,0,25,25,45599.758225661055
mathematical,0,25,26,46021.53323929398
mathematical,0,25,27,45576.8516671317
mathematical,0,25,28,45559.964001885775
mathematical,0,25,29,45891.854654947914
mathematical,0,25,30,47013.14563382057
mathematical,0,25,31,48508.52611517137
mathematical,0,25,32,48577.992092993954
mathematical,0,25,33,48134.812153477826
mathematical,0,25,34,50670.10499621976
mathematical,0,25,35,52291.40716355847
mathematical,0,25,36,53368.5029296875
mathematical,0,25,37,53730.3935546875
mathematical,0,25,38,55650.6359311996
mathematical,0,25,39,57152.4484311996
mathematical,0,25,40,58780.078471522174
mathematical,0,25,41,60068.251858618954
mathematical,0,25,42,62407.95063634073
mathematical,0,25,43,62522.962890625
mathematical,0,25,44,64748.7421875
mathematical,0,25,45,66323.33996975806
mathematical,0,25,46,65404.72416834677
mathematical,0,25,47,67561.80708165323
mathematical,0,25,48,68554.57825100806
mathematical,0,25,49,65580.76814516129
mathematical,0,25,50,64279.907195060485
