file,q_label,topology,epsilon,ln_epsilon,N_star_epsilon,exp_tau,exp_A
48q_readout_raw_data.txt,48q,Bulk_Full,1e-08,-18.420680743952367,265156.38927546097,21016.18652720747,0.0030157375287996
48q_readout_raw_data.txt,48q,Bulk_Full,1e-06,-13.815510557964274,168373.2736572005,21016.18652720747,0.0030157375287996
48q_readout_raw_data.txt,48q,Bulk_Full,0.0001,-9.210340371976182,71590.15803894006,21016.18652720747,0.0030157375287996
48q_readout_raw_data.txt,48q,Bulk_Full,0.001,-6.907755278982137,23198.60022980986,21016.18652720747,0.0030157375287996
48q_readout_raw_data.txt,48q,Bulk_Full,0.01,-4.605170185988091,,21016.18652720747,0.0030157375287996
51q_readout_raw_data.txt,51q,Bulk_Full,1e-08,-18.420680743952367,257159.94279452928,20326.391666372954,0.0031224063974675
51q_readout_raw_data.txt,51q,Bulk_Full,1e-06,-13.815510557964274,163553.44990383173,20326.391666372954,0.0031224063974675
51q_readout_raw_data.txt,51q,Bulk_Full,0.0001,-9.210340371976182,69946.95701313419,20326.391666372954,0.0031224063974675
51q_readout_raw_data.txt,51q,Bulk_Full,0.001,-6.907755278982137,23143.710567785438,20326.391666372954,0.0031224063974675
51q_readout_raw_data.txt,51q,Bulk_Full,0.01,-4.605170185988091,,20326.391666372954,0.0031224063974675
53q_readout_raw_data.txt,53q,Bulk_Full,1e-08,-18.420680743952367,177432.2046491211,13803.926469746111,0.0038221895271741
53q_readout_raw_data.txt,53q,Bulk_Full,1e-06,-13.815510557964274,113862.77402107442,13803.926469746111,0.0038221895271741
53q_readout_raw_data.txt,53q,Bulk_Full,0.0001,-9.210340371976182,50293.34339302778,13803.926469746111,0.0038221895271741
53q_readout_raw_data.txt,53q,Bulk_Full,0.001,-6.907755278982137,18508.628079004473,13803.926469746111,0.0038221895271741
53q_readout_raw_data.txt,53q,Bulk_Full,0.01,-4.605170185988091,,13803.926469746111,0.0038221895271741
