row_index,file,q_label,topology,n_points
258,42q_readout_raw_data.txt,42q,2D_Block,3000
259,42q_readout_raw_data.txt,42q,2D_Block,4000
260,42q_readout_raw_data.txt,42q,2D_Block,5000
261,42q_readout_raw_data.txt,42q,2D_Block,6000
262,42q_readout_raw_data.txt,42q,2D_Block,7000
263,42q_readout_raw_data.txt,42q,2D_Block,8000
264,42q_readout_raw_data.txt,42q,2D_Block,9000
265,42q_readout_raw_data.txt,42q,2D_Block,10000
266,42q_readout_raw_data.txt,42q,2D_Block,15000
267,42q_readout_raw_data.txt,42q,2D_Block,20000
268,42q_readout_raw_data.txt,42q,2D_Block,30000
269,42q_readout_raw_data.txt,42q,2D_Block,40000
270,43q_readout_raw_data.txt,43q,2D_Block,500
271,43q_readout_raw_data.txt,43q,2D_Block,1000
272,43q_readout_raw_data.txt,43q,2D_Block,2000
273,43q_readout_raw_data.txt,43q,2D_Block,3000
274,43q_readout_raw_data.txt,43q,2D_Block,4000
275,43q_readout_raw_data.txt,43q,2D_Block,5000
276,43q_readout_raw_data.txt,43q,2D_Block,6000
277,43q_readout_raw_data.txt,43q,2D_Block,7000
278,43q_readout_raw_data.txt,43q,2D_Block,8000
279,43q_readout_raw_data.txt,43q,2D_Block,9000
280,43q_readout_raw_data.txt,43q,2D_Block,10000
281,43q_readout_raw_data.txt,43q,2D_Block,15000
282,43q_readout_raw_data.txt,43q,2D_Block,20000
283,43q_readout_raw_data.txt,43q,2D_Block,30000
284,43q_readout_raw_data.txt,43q,2D_Block,40000
285,44q_readout_raw_data.txt,44q,2D_Block,500
286,44q_readout_raw_data.txt,44q,2D_Block,1000
287,44q_readout_raw_data.txt,44q,2D_Block,2000
288,44q_readout_raw_data.txt,44q,2D_Block,3000
289,44q_readout_raw_data.txt,44q,2D_Block,4000
290,44q_readout_raw_data.txt,44q,2D_Block,5000
291,44q_readout_raw_data.txt,44q,2D_Block,6000
292,44q_readout_raw_data.txt,44q,2D_Block,7000
293,44q_readout_raw_data.txt,44q,2D_Block,8000
294,44q_readout_raw_data.txt,44q,2D_Block,9000
295,44q_readout_raw_data.txt,44q,2D_Block,10000
296,44q_readout_raw_data.txt,44q,2D_Block,15000
297,44q_readout_raw_data.txt,44q,2D_Block,20000
