data_source,file,q_label,topology,n_points,ricci_ambient,log_det_fisher,fisher_speed_dn
measured,38q_readout_raw_data.txt,38q,Bulk_Full,4000,,961.3496586740138,0.00332669787491384
measured,38q_readout_raw_data.txt,38q,Bulk_Full,5000,,963.3479651453702,0.0037323870174018068
measured,38q_readout_raw_data.txt,38q,Bulk_Full,6000,,786.5768859874339,0.0022923502446890384
measured,38q_readout_raw_data.txt,38q,Bulk_Full,7000,,802.6753656007332,0.002678069439699545
measured,38q_readout_raw_data.txt,38q,Bulk_Full,8000,,1066.8241513067828,0.004056345099050612
measured,38q_readout_raw_data.txt,38q,Bulk_Full,9000,,750.5820831165629,0.0032818694159692545
measured,38q_readout_raw_data.txt,38q,Bulk_Full,10000,,784.5312474508717,0.0037821200122666416
measured,38q_readout_raw_data.txt,38q,Bulk_Full,15000,,827.4977097719354,0.0009697315021584826
measured,38q_readout_raw_data.txt,38q,Bulk_Full,20000,,265.4018922995716,0.0009515746599881494
measured,38q_readout_raw_data.txt,38q,Bulk_Full,30000,,222.28832112298082,0.00039248389418294714
measured,38q_readout_raw_data.txt,38q,Bulk_Full,40000,,410.0131794553509,0.0004396128726803612
measured,39q_readout_raw_data.txt,39q,2D_Block,500,,602.5437576124664,
measured,39q_readout_raw_data.txt,39q,2D_Block,1000,,616.8823843104344,0.0033746083967483285
measured,39q_readout_raw_data.txt,39q,2D_Block,2000,,625.9946180775337,0.0015326119634471844
measured,39q_readout_raw_data.txt,39q,2D_Block,3000,,630.0124330093529,0.001023455434015414
measured,39q_readout_raw_data.txt,39q,2D_Block,4000,,1241.4649442702787,0.004339328980163754
measured,39q_readout_raw_data.txt,39q,2D_Block,5000,,915.3833106311071,0.003036887918570015
measured,39q_readout_raw_data.txt,39q,2D_Block,6000,,957.9063428154732,0.002024657996537826
measured,39q_readout_raw_data.txt,39q,2D_Block,7000,,478.37639597334424,0.00398343181898801
measured,39q_readout_raw_data.txt,39q,2D_Block,8000,,744.7416630494971,0.004969617012012803
measured,39q_readout_raw_data.txt,39q,2D_Block,9000,,733.5808906032447,0.0019950084939155018
measured,39q_readout_raw_data.txt,39q,2D_Block,10000,,604.2622607175471,0.0029242525733831084
measured,39q_readout_raw_data.txt,39q,2D_Block,15000,,698.3121306166147,0.0008751711626557968
measured,39q_readout_raw_data.txt,39q,2D_Block,20000,,615.403019306489,0.0008176944025900589
measured,39q_readout_raw_data.txt,39q,2D_Block,30000,,418.67685303933666,0.00043652536487005263
measured,39q_readout_raw_data.txt,39q,2D_Block,40000,,314.6549528018464,0.00039742412871933083
measured,40q_readout_raw_data.txt,40q,2D_Block,500,,418.61714604775796,
measured,40q_readout_raw_data.txt,40q,2D_Block,1000,,416.635422629734,0.00559120360593972
measured,40q_readout_raw_data.txt,40q,2D_Block,2000,,413.241802284709,0.0019326945227244052
measured,40q_readout_raw_data.txt,40q,2D_Block,3000,,421.867088681714,0.001346038863708392
measured,40q_readout_raw_data.txt,40q,2D_Block,4000,,953.8710868028534,0.0043745940421848015
measured,40q_readout_raw_data.txt,40q,2D_Block,5000,,776.4301426063469,0.0028369164053715637
measured,40q_readout_raw_data.txt,40q,2D_Block,6000,,602.27415333432,0.0031379515945276736
measured,40q_readout_raw_data.txt,40q,2D_Block,7000,,615.8273719109797,0.0035275482328807977
measured,40q_readout_raw_data.txt,40q,2D_Block,8000,,910.0149023589578,0.004731869104007
measured,40q_readout_raw_data.txt,40q,2D_Block,9000,,937.5075852313479,0.0016626671368159948
measured,40q_readout_raw_data.txt,40q,2D_Block,10000,,750.1437673228015,0.0029172991286030452
measured,40q_readout_raw_data.txt,40q,2D_Block,15000,,1040.1332268697618,0.0008885290745788008
measured,40q_readout_raw_data.txt,40q,2D_Block,20000,,500.350259431271,0.001083876633175464
measured,40q_readout_raw_data.txt,40q,2D_Block,30000,,316.90696045759086,0.0004027129028676633
measured,40q_readout_raw_data.txt,40q,2D_Block,40000,,285.13023936454687,0.0004110759003135022
measured,41q_readout_raw_data.txt,41q,2D_Block,500,,643.4009188027286,
measured,41q_readout_raw_data.txt,41q,2D_Block,1000,,442.9565792453549,0.005267162061426326
measured,41q_readout_raw_data.txt,41q,2D_Block,2000,,425.71824333834996,0.002281609221047814
measured,41q_readout_raw_data.txt,41q,2D_Block,3000,,440.80118287922323,0.001653539809282341
measured,41q_readout_raw_data.txt,41q,2D_Block,4000,,898.8713625247639,0.004511243498831665
measured,41q_readout_raw_data.txt,41q,2D_Block,5000,,737.4074188206297,0.0024408571490856295
measured,41q_readout_raw_data.txt,41q,2D_Block,6000,,588.0626038360592,0.002524324653352303
measured,41q_readout_raw_data.txt,41q,2D_Block,7000,,554.0983760421685,0.0027837018275348713
measured,41q_readout_raw_data.txt,41q,2D_Block,8000,,1064.018638173233,0.004524633941268967
measured,41q_readout_raw_data.txt,41q,2D_Block,9000,,928.5983535746481,0.0019529723147083278
measured,41q_readout_raw_data.txt,41q,2D_Block,10000,,619.7653429609553,0.0037474672560510835
measured,41q_readout_raw_data.txt,41q,2D_Block,15000,,572.5414396833921,0.0010081061478051892
measured,41q_readout_raw_data.txt,41q,2D_Block,20000,,414.6013732252,0.0010056831463608885
measured,41q_readout_raw_data.txt,41q,2D_Block,30000,,613.9787575136573,0.0005025834170290802
measured,41q_readout_raw_data.txt,41q,2D_Block,40000,,523.0531202256584,0.0003576838064859341
measured,42q_readout_raw_data.txt,42q,2D_Block,500,,274.94612484639543,
measured,42q_readout_raw_data.txt,42q,2D_Block,1000,,414.19167613413936,0.0068624395924352785
measured,42q_readout_raw_data.txt,42q,2D_Block,2000,,408.5102127443599,0.0016414793268055823
measured,42q_readout_raw_data.txt,42q,2D_Block,3000,,413.84747524647145,0.0012348654825233487
measured,42q_readout_raw_data.txt,42q,2D_Block,4000,,1070.070934985492,0.00491664939261615
measured,42q_readout_raw_data.txt,42q,2D_Block,5000,,767.3585414653786,0.0030318304075930215
measured,42q_readout_raw_data.txt,42q,2D_Block,6000,,588.086324199958,0.0024610898312532195
measured,42q_readout_raw_data.txt,42q,2D_Block,7000,,477.03459021155317,0.00340934002293862
measured,42q_readout_raw_data.txt,42q,2D_Block,8000,,799.5531763842949,0.004870667861425187
measured,42q_readout_raw_data.txt,42q,2D_Block,9000,,765.853016294521,0.002698437928557057
measured,42q_readout_raw_data.txt,42q,2D_Block,10000,,593.1034145009386,0.0024156459357697357
measured,42q_readout_raw_data.txt,42q,2D_Block,15000,,883.7383841251024,0.0008106550191129773
measured,42q_readout_raw_data.txt,42q,2D_Block,20000,,350.1095658533146,0.0010759996467107882
measured,42q_readout_raw_data.txt,42q,2D_Block,30000,,723.0326581111505,0.00046895139774714403
measured,42q_readout_raw_data.txt,42q,2D_Block,40000,,311.0870247305842,0.0005009072786263328
measured,43q_readout_raw_data.txt,43q,2D_Block,500,,415.1934971297045,
measured,43q_readout_raw_data.txt,43q,2D_Block,1000,,412.6323821136902,0.004132706090755152
measured,43q_readout_raw_data.txt,43q,2D_Block,2000,,411.492233724273,0.0018032773396018092
measured,43q_readout_raw_data.txt,43q,2D_Block,3000,,413.6512702464556,0.001299346263456045
measured,43q_readout_raw_data.txt,43q,2D_Block,4000,,1086.4539520144892,0.0044152294263704196
measured,43q_readout_raw_data.txt,43q,2D_Block,5000,,934.0489879480037,0.002824651380518042
measured,43q_readout_raw_data.txt,43q,2D_Block,6000,,762.3582012787346,0.0026716272555748002
measured,43q_readout_raw_data.txt,43q,2D_Block,7000,,669.9413255047803,0.0034558910639426246
measured,43q_readout_raw_data.txt,43q,2D_Block,8000,,934.5207535794145,0.004986707821392367
measured,43q_readout_raw_data.txt,43q,2D_Block,9000,,933.784228023364,0.0020868934340706907
measured,43q_readout_raw_data.txt,43q,2D_Block,10000,,926.4712618057929,0.0011408872957807902
measured,43q_readout_raw_data.txt,43q,2D_Block,15000,,665.5052919964747,0.000942666336320495
measured,43q_readout_raw_data.txt,43q,2D_Block,20000,,415.5647198707217,0.0008378718561278788
measured,43q_readout_raw_data.txt,43q,2D_Block,30000,,447.1388524648267,0.00044114441662316856
