file,q_label,topology,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous,matrix_entropy,frobenius_from_uniform
38q_readout_raw_data.txt,38q,Bulk_Full,30000,155.47075701826802,229649289.04684082,55.017473398080774,0.7576930828808671,1.6078457293503614,0.862006055470275
38q_readout_raw_data.txt,38q,Bulk_Full,40000,866.7373125941012,421333610820.1124,403.44258685292886,0.8810981296394471,1.2025990122997352,1.352271214454102
39q_readout_raw_data.txt,39q,2D_Block,500,14016.704387421865,31112058431.53966,13932.737698681,0.0,1.6494269592014998,0.8085268148533222
39q_readout_raw_data.txt,39q,2D_Block,1000,11135.949471868837,5051531665.728132,11078.090700263352,0.36609812945266146,1.645744016388487,0.8425190947919508
39q_readout_raw_data.txt,39q,2D_Block,2000,136955.01075691104,13922822681.91881,136912.6889047624,0.1529240836596982,1.7281625220360528,0.7161215311942287
39q_readout_raw_data.txt,39q,2D_Block,3000,134722.51502713948,13184417874.343504,134679.75643935794,0.04750836660173496,1.7273039694412393,0.711475372786384
39q_readout_raw_data.txt,39q,2D_Block,4000,8699.862019223836,2834370519604847.0,6198.670596669632,1.3715871872708245,1.4686578490047277,1.2566701534763323
39q_readout_raw_data.txt,39q,2D_Block,5000,11170.06411411664,154269132052868.44,5415.684299115631,0.4369732496879411,1.4953576923231198,1.159963221223536
39q_readout_raw_data.txt,39q,2D_Block,6000,6260.433465839828,1918553316699.748,3445.590368351005,0.22299005423138468,1.647706421315441,0.9237631932898098
39q_readout_raw_data.txt,39q,2D_Block,7000,15769.004573924027,2.3537816187107156e+16,6465.394056804577,0.6009832544448016,1.5246224353909867,0.9670645213331819
39q_readout_raw_data.txt,39q,2D_Block,8000,2245.924832771248,5615796530.77821,2132.8934533923566,1.0707460281006675,1.5018969235508326,1.1262097004420573
39q_readout_raw_data.txt,39q,2D_Block,9000,1961.1863924457916,9288393625.92488,1733.1132064862932,0.19723626855437473,1.4395849607399218,1.0926578233522901
39q_readout_raw_data.txt,39q,2D_Block,10000,14752.704038019778,13019930699167.598,13044.534559764155,0.8081765227918528,1.3186345606763386,1.25581159560013
39q_readout_raw_data.txt,39q,2D_Block,15000,289.6811353383483,4777096743.265396,96.02358119188033,1.3997889558267125,1.4492775216073304,1.2190780517830155
39q_readout_raw_data.txt,39q,2D_Block,20000,32311.64119929061,3250034288077720.5,30893.413639707735,1.8498470363741564,1.1105876637469374,1.5023036868830977
39q_readout_raw_data.txt,39q,2D_Block,30000,706.680415056074,19782973850.44404,347.5338889519587,1.3819416552114419,1.3721815460664508,1.1682696965103316
39q_readout_raw_data.txt,39q,2D_Block,40000,20739.724127354326,4755025922693.255,20268.16263504247,1.842688431185453,1.1563189451351186,1.4255925612885185
40q_readout_raw_data.txt,40q,2D_Block,500,44996.05923811922,1289705610475.5513,44818.80634151953,0.0,1.5470210420814665,0.9472542655750995
40q_readout_raw_data.txt,40q,2D_Block,1000,9174.619810430559,7002384560.16558,9102.819857686816,0.2543404242352177,1.578708878439813,0.9207107300824926
40q_readout_raw_data.txt,40q,2D_Block,2000,123.49590000452879,13748530.601300871,76.68653942465593,0.4927372142949627,1.7937145791494,0.5422250085799842
40q_readout_raw_data.txt,40q,2D_Block,3000,60.21846809570463,2087415.3079949282,17.685935355686965,0.12579929948602325,1.8691720577022684,0.383147814022568
40q_readout_raw_data.txt,40q,2D_Block,4000,22878.223895499093,104253563807522.83,22184.0485376253,1.6793309780353416,1.3452305617389566,1.354463428823785
40q_readout_raw_data.txt,40q,2D_Block,5000,2419.8662173263756,645042065432.0459,1715.8218480342653,0.5105553524787793,1.4956747517220728,1.0922989510841816
40q_readout_raw_data.txt,40q,2D_Block,6000,4049.85335723924,548626462990.40643,2237.2754833614154,0.17679166652505277,1.5904503166047657,0.9325256934666939
40q_readout_raw_data.txt,40q,2D_Block,7000,3003.1173205387554,321980395215109.44,1595.9083365561132,0.9411120661909221,1.2129983641057696,1.3689151430031894
40q_readout_raw_data.txt,40q,2D_Block,8000,20708.58434603573,9809463579060.902,20207.83385348379,1.3915750150199373,1.4976656024607549,1.1892388244317968
40q_readout_raw_data.txt,40q,2D_Block,9000,25514.54871277235,18135019665990.082,23095.766860312197,0.4181477482329662,1.3828012780674561,1.1938990230558257
