subject,regime,channel,condition,rep,K,sfreq,n_samples,val_loss,perplexity,wall_seconds
27,rest,T3,aaft,0,7,100.0,18200,1.4590863657871782,4.3020272530052575,109.80637502670288
27,rest,T4,aaft,0,7,100.0,18200,1.565778422861803,4.786399328794167,110.67437195777893
27,rest,C3,aaft,0,7,100.0,18200,1.4192135467252274,4.133868067420296,109.57200956344604
27,rest,C4,aaft,0,7,100.0,18200,1.4823232258581274,4.403163350299154,109.22503876686096
27,rest,T5,aaft,0,7,100.0,18200,1.488748860050585,4.431547562898937,110.0629711151123
27,rest,T6,aaft,0,7,100.0,18200,1.4761283787087747,4.375970740363699,109.02697968482971
27,rest,P3,aaft,0,7,100.0,18200,1.440652317465426,4.223449948780702,109.81244015693665
27,rest,P4,aaft,0,7,100.0,18200,1.4714124440717653,4.355382532855993,109.85933470726013
27,rest,O1,aaft,0,7,100.0,18200,1.349443104499895,3.855277945822618,109.03834509849548
27,rest,O2,aaft,0,7,100.0,18200,1.3525296098875386,3.8671956645636216,110.90555691719055
27,rest,Fz,aaft,0,7,100.0,18200,1.4089573804599442,4.091687106423616,109.54154443740845
27,rest,Cz,aaft,0,7,100.0,18200,1.4701126684191943,4.349725190116796,110.0704185962677
27,rest,Pz,aaft,0,7,100.0,18200,1.4516056806247812,4.269965214092433,110.20375490188599
27,arithmetic,Fp1,aaft,0,7,100.0,6200,1.5860584052081441,4.884458379828004,37.07490134239197
27,arithmetic,Fp2,aaft,0,7,100.0,6200,1.7992547925483566,6.045140901413369,36.98739194869995
27,arithmetic,F3,aaft,0,7,100.0,6200,1.4656734585544295,4.330458642906841,36.879470109939575
27,arithmetic,F4,aaft,0,7,100.0,6200,1.5143847574556664,4.546622990270916,37.081998348236084
27,arithmetic,F7,aaft,0,7,100.0,6200,1.6724167777691294,5.325021652418657,37.11662268638611
27,arithmetic,F8,aaft,0,7,100.0,6200,1.8146011982547048,6.138627593829546,36.83218002319336
27,arithmetic,T3,aaft,0,7,100.0,6200,1.6079824719905775,4.992728090981307,37.424304246902466
27,arithmetic,T4,aaft,0,7,100.0,6200,1.8071880721755251,6.093289429913597,37.439990758895874
27,arithmetic,C3,aaft,0,7,100.0,6200,1.4916004701163472,4.444202643638426,37.242459297180176
27,arithmetic,C4,aaft,0,7,100.0,6200,1.5164405647150272,4.555979585202435,37.918243169784546
27,arithmetic,T5,aaft,0,7,100.0,6200,1.58413472976009,4.875071298908996,37.303301095962524
27,arithmetic,T6,aaft,0,7,100.0,6200,1.5509181779766836,4.715798137362518,37.77723979949951
27,arithmetic,P3,aaft,0,7,100.0,6200,1.4920344098167877,4.446131578092654,37.16677951812744
27,arithmetic,P4,aaft,0,7,100.0,6200,1.5831967287759314,4.870500621217986,37.0108642578125
27,arithmetic,O1,aaft,0,7,100.0,6200,1.6438476598437166,5.1750430597617125,37.6552472114563
27,arithmetic,O2,aaft,0,7,100.0,6200,1.5596256931586612,4.757040319116281,38.206934452056885
27,arithmetic,Fz,aaft,0,7,100.0,6200,1.433883968181365,4.194960685744133,37.16870045661926
27,arithmetic,Cz,aaft,0,7,100.0,6200,1.5168781870899442,4.557973820137672,37.073221921920776
27,arithmetic,Pz,aaft,0,7,100.0,6200,1.517806004254042,4.562204748942172,37.15755105018616
28,rest,Fp1,aaft,0,7,100.0,18200,1.4105448478087277,4.09818768446905,109.51959919929504
28,rest,Fp2,aaft,0,7,100.0,18200,1.4381034838729645,4.212698784959381,109.8878927230835
28,rest,F3,aaft,0,7,100.0,18200,1.3836008708876164,3.989240535831617,108.75221705436707
28,rest,F4,aaft,0,7,100.0,18200,1.4395527959239225,4.218808726612015,109.47164225578308
28,rest,F7,aaft,0,7,100.0,18200,1.4247330724126839,4.156748143904845,109.25366950035095
28,rest,F8,aaft,0,7,100.0,18200,1.4438037144580433,4.236780710476266,109.30521726608276
28,rest,T3,aaft,0,7,100.0,18200,1.4479937333286776,4.254570144609943,109.91533637046814
28,rest,T4,aaft,0,7,100.0,18200,1.4365847395609292,4.206305628655155,109.87056040763855
28,rest,C3,aaft,0,7,100.0,18200,1.4915119465807463,4.443809244520281,109.08543348312378
28,rest,C4,aaft,0,7,100.0,18200,1.459113340956739,4.302143302485082,109.90935254096985
28,rest,T5,aaft,0,7,100.0,18200,1.4882697966772844,4.429425079217202,109.26020121574402
28,rest,T6,aaft,0,7,100.0,18200,1.3507431033518913,3.8602930618425546,109.42060470581055
28,rest,P3,aaft,0,7,100.0,18200,1.4425018362689952,4.231268526951814,110.00878715515137
28,rest,P4,aaft,0,7,100.0,18200,1.4309697763341864,4.182753561105149,109.23024559020996
28,rest,O1,aaft,0,7,100.0,18200,1.4066683526677766,4.082331832246318,109.78576135635376
28,rest,O2,aaft,0,7,100.0,18200,1.3372120021941132,3.80841084925099,109.56811308860779
28,rest,Fz,aaft,0,7,100.0,18200,1.389884402915727,4.014385974857839,109.22588324546814
28,rest,Cz,aaft,0,7,100.0,18200,1.4806532635483607,4.395816369758128,114.95394539833069
28,rest,Pz,aaft,0,7,100.0,18200,1.428726296935609,4.1733801581112555,110.2816116809845
28,arithmetic,Fp1,aaft,0,7,100.0,6200,1.6279370692973931,5.093356631450126,36.89234519004822
28,arithmetic,Fp2,aaft,0,7,100.0,6200,1.5683009270360821,4.798488281887944,37.8235809803009
28,arithmetic,F3,aaft,0,7,100.0,6200,1.5381999079086925,4.656201131808975,36.98808217048645
28,arithmetic,F4,aaft,0,7,100.0,6200,1.5482084773691447,4.703037033478325,37.55124592781067
28,arithmetic,F7,aaft,0,7,100.0,6200,1.7457424417047975,5.73015420197965,37.43904256820679
